Dataset,Our DT (real),Our DT (categorical),Our DT (real + OHE),Sklearn DT
mushrooms,1.0,1.0,1.0,0.9603836062991171
tic-tac-toe,0.8789144736842106,0.9447149122807019,0.9447149122807019,0.7716776315789474
cars,0.9901633284043554,0.9872731549939507,0.9878511896760317,0.9427073531388628
nursery,0.9997685185185186,0.9997685185185186,0.9997685185185186,0.9996913580246914
